공통패턴(3개번호),등장횟수
"(16, 30, 33)",4
"(16, 30, 35)",4
"(16, 30, 45)",4
"(16, 33, 45)",4
"(16, 34, 45)",4
"(17, 18, 23)",4
"(17, 19, 30)",4
"(17, 19, 31)",4
"(17, 19, 45)",4
"(17, 20, 32)",4
"(17, 21, 32)",4
"(17, 21, 41)",4
"(17, 22, 31)",4
"(17, 22, 44)",4
"(17, 23, 24)",4
"(17, 23, 25)",4
"(17, 23, 35)",4
"(17, 23, 42)",4
"(17, 24, 26)",4
"(17, 25, 43)",4
"(17, 25, 44)",4
"(17, 25, 45)",4
"(17, 26, 27)",4
"(17, 26, 35)",4
"(17, 26, 36)",4
"(17, 26, 41)",4
"(17, 27, 28)",4
"(17, 27, 36)",4
"(17, 27, 40)",4
"(17, 27, 44)",4
"(17, 30, 41)",4
"(17, 31, 38)",4
"(17, 31, 42)",4
"(17, 32, 36)",4
"(17, 32, 37)",4
"(17, 32, 39)",4
"(17, 32, 44)",4
"(17, 33, 34)",4
"(17, 36, 44)",4
"(17, 40, 41)",4
"(17, 40, 44)",4
"(18, 20, 25)",4
"(18, 20, 27)",4
"(18, 20, 28)",4
"(18, 20, 32)",4
"(18, 21, 38)",4
"(18, 21, 42)",4
"(18, 22, 30)",4
"(18, 22, 41)",4
"(18, 22, 44)",4
"(18, 23, 43)",4
"(18, 24, 25)",4
"(18, 24, 29)",4
"(18, 24, 31)",4
"(18, 24, 36)",4
"(18, 25, 43)",4
"(18, 26, 36)",4
"(18, 27, 37)",4
"(18, 28, 43)",4
"(18, 30, 43)",4
"(18, 31, 32)",4
"(18, 32, 36)",4
"(18, 32, 39)",4
"(18, 33, 36)",4
"(18, 40, 44)",4
"(19, 21, 35)",4
"(19, 21, 39)",4
"(19, 22, 34)",4
"(19, 24, 28)",4
"(19, 24, 40)",4
"(19, 25, 28)",4
"(19, 25, 44)",4
"(19, 26, 30)",4
"(19, 26, 37)",4
"(19, 27, 43)",4
"(19, 28, 29)",4
"(19, 28, 45)",4
"(19, 29, 32)",4
"(19, 29, 36)",4
"(19, 30, 33)",4
"(19, 30, 41)",4
"(19, 31, 35)",4
"(19, 32, 34)",4
"(19, 33, 39)",4
"(19, 36, 38)",4
"(19, 43, 45)",4
"(20, 23, 40)",4
"(20, 24, 42)",4
"(20, 25, 32)",4
"(20, 25, 33)",4
"(20, 27, 29)",4
"(20, 27, 37)",4
"(20, 29, 32)",4
"(20, 33, 42)",4
"(20, 34, 45)",4
"(20, 35, 43)",4
"(21, 22, 29)",4
"(21, 22, 37)",4
"(21, 22, 43)",4
"(21, 22, 45)",4
"(21, 23, 43)",4
"(21, 26, 35)",4
"(21, 28, 30)",4
"(21, 28, 32)",4
"(21, 30, 36)",4
"(21, 31, 40)",4
"(21, 31, 41)",4
"(21, 33, 41)",4
"(21, 34, 41)",4
"(21, 37, 42)",4
"(21, 39, 41)",4
"(22, 24, 37)",4
"(22, 25, 40)",4
"(22, 26, 36)",4
"(22, 27, 45)",4
"(22, 29, 30)",4
"(22, 29, 32)",4
"(22, 30, 41)",4
"(22, 31, 44)",4
"(22, 33, 39)",4
"(22, 33, 44)",4
"(22, 35, 42)",4
"(22, 37, 45)",4
"(22, 42, 45)",4
"(22, 43, 45)",4
"(23, 24, 25)",4
"(23, 24, 26)",4
"(23, 24, 36)",4
"(23, 24, 40)",4
"(23, 25, 34)",4
"(23, 28, 32)",4
"(23, 28, 33)",4
"(23, 28, 34)",4
"(23, 28, 36)",4
"(23, 29, 43)",4
"(23, 33, 34)",4
"(23, 33, 38)",4
"(23, 33, 44)",4
"(23, 34, 45)",4
"(23, 37, 41)",4
"(23, 37, 43)",4
"(23, 38, 42)",4
