회차,순위정렬1,순위정렬2,순위정렬3,순위정렬4,순위정렬5,순위정렬6
882,1,2,12,15,16,31
883,9,13,24,31,43,45
884,13,15,21,22,38,43
885,3,12,13,15,25,32
886,9,16,19,35,37,42
887,3,5,6,12,21,31
888,1,7,24,29,32,33
889,14,15,30,33,35,40
890,8,9,12,19,21,39
891,12,14,23,37,41,45
892,4,9,20,24,34,45
893,4,11,23,32,41,42
894,4,5,16,17,41,43
895,11,23,24,33,35,40
896,8,10,19,24,28,30
897,7,21,29,30,36,44
898,8,17,33,34,37,41
899,9,13,15,16,23,31
900,7,13,25,30,35,41
901,1,5,13,18,41,42
902,8,14,25,28,30,42
903,24,29,33,35,37,44
904,2,9,19,21,31,37
905,5,7,21,29,32,34
906,13,18,24,30,37,43
907,3,6,26,28,34,41
908,27,31,33,34,42,44
909,1,27,30,38,39,40
910,2,5,7,12,23,40
911,9,11,16,20,35,43
912,6,15,21,26,27,44
913,2,10,18,25,33,37
914,15,16,28,31,33,35
915,15,17,22,31,36,44
916,23,33,36,38,43,44
917,2,3,11,28,33,42
918,8,16,21,24,27,28
919,4,5,9,33,35,45
920,1,3,15,23,30,31
921,7,16,26,37,41,44
922,2,3,4,14,29,36
923,4,5,30,33,41,42
924,1,3,19,28,32,34
925,1,9,12,30,34,43
926,5,16,19,24,34,35
927,3,22,28,30,39,44
928,13,18,20,26,31,37
929,6,16,27,28,42,45
930,7,25,27,28,30,35
931,2,9,28,35,38,40
932,13,18,22,26,34,36
933,3,13,26,32,40,41
934,7,11,15,27,31,42
935,13,18,19,23,30,43
936,4,5,13,21,29,41
937,9,11,17,32,40,44
938,15,19,23,26,30,33
939,6,13,17,20,35,37
940,13,24,25,32,41,44
941,3,6,7,8,10,35
942,3,5,7,14,35,39
943,10,12,13,25,29,30
944,9,15,17,32,34,43
945,14,15,20,22,42,45
946,1,4,9,16,42,45
947,3,5,14,22,25,38
948,4,9,24,25,40,41
949,9,10,26,27,29,38
950,7,17,22,25,37,44
951,3,7,8,24,31,39
952,8,15,17,32,40,44
953,3,20,30,34,44,45
954,14,32,37,39,40,45
955,13,16,30,41,42,45
956,13,16,24,30,35,40
957,8,16,20,28,32,40
958,15,19,32,34,38,45
959,5,11,14,19,32,39
960,4,16,28,31,40,44
961,13,14,20,21,34,41
962,1,3,4,13,21,36
963,1,6,18,33,39,42
964,2,8,26,27,29,37
965,10,22,29,35,37,41
966,1,10,20,28,35,41
967,5,9,10,18,24,37
968,6,7,11,25,27,29
969,5,14,15,28,40,45
970,21,22,27,35,37,45
971,3,10,23,25,30,37
972,7,8,17,26,36,42
973,16,22,30,33,40,44
974,6,9,20,24,32,34
975,8,28,30,33,43,45
976,8,11,15,17,35,40
977,11,13,21,31,43,45
